district_id:id,code,name,id
CRSJ0101,01,SAN JOSÉ (parte),CRSJ010101
CRSJ0101,02,Amón,CRSJ010102
CRSJ0101,03,Aranjuez,CRSJ010103
CRSJ0101,04,California (parte),CRSJ010104
CRSJ0101,05,Carmen,CRSJ010105
CRSJ0101,06,Empalme,CRSJ010106
CRSJ0101,07,Escalante,CRSJ010107
CRSJ0101,08,Otoya,CRSJ010108
CRSJ0102,01,SAN JOSÉ (parte),CRSJ010201
CRSJ0102,02,Bajos de la Unión,CRSJ010202
CRSJ0102,03,Claret,CRSJ010203
CRSJ0102,04,Cocacola,CRSJ010204
CRSJ0102,05,Iglesias Flores,CRSJ010205
CRSJ0102,06,Mantica,CRSJ010206
CRSJ0102,07,México,CRSJ010207
CRSJ0102,08,Paso de la Vaca,CRSJ010208
CRSJ0102,09,Pitahaya,CRSJ010209
CRSJ0103,01,SAN JOSÉ (parte),CRSJ010301
CRSJ0103,02,Almendares,CRSJ010302
CRSJ0103,03,Ángeles,CRSJ010303
CRSJ0103,04,Bolívar,CRSJ010304
CRSJ0103,05,Carit,CRSJ010305
CRSJ0103,06,Colón (parte),CRSJ010306
CRSJ0103,07,Corazón de Jesús,CRSJ010307
CRSJ0103,08,Cristo Rey,CRSJ010308
CRSJ0103,09,Cuba,CRSJ010309
CRSJ0103,10,Dolorosa (parte),CRSJ010310
CRSJ0103,11,Merced,CRSJ010311
CRSJ0103,12,Pacífico (parte),CRSJ010312
CRSJ0103,13,Pinos,CRSJ010313
CRSJ0103,14,Salubridad,CRSJ010314
CRSJ0103,15,San Bosco,CRSJ010315
CRSJ0103,16,San Francisco,CRSJ010316
CRSJ0103,17,Santa Lucía,CRSJ010317
CRSJ0103,18,Silos,CRSJ010318
CRSJ0104,01,SAN JOSÉ (parte),CRSJ010401
CRSJ0104,02,Bellavista,CRSJ010402
CRSJ0104,03,California (parte),CRSJ010403
CRSJ0104,04,Carlos María Jiménez,CRSJ010404
CRSJ0104,05,Dolorosa (parte),CRSJ010405
CRSJ0104,06,Dos Pinos,CRSJ010406
CRSJ0104,07,Francisco Peralta (parte),CRSJ010407
CRSJ0104,08,González Lahmann,CRSJ010408
CRSJ0104,09,González Víquez,CRSJ010409
CRSJ0104,10,Güell,CRSJ010410
CRSJ0104,11,La Cruz,CRSJ010411
CRSJ0104,12,Lomas de Ocloro,CRSJ010412
CRSJ0104,13,Luján,CRSJ010413
CRSJ0104,14,Milflor,CRSJ010414
CRSJ0104,15,Naciones Unidas,CRSJ010415
CRSJ0104,16,Pacífico (parte),CRSJ010416
